昵称 (ID),年度金句 (精选),个人关键词 (3个),年度总结 (One Sentence)
文明大使-韬(chongxiaotao),“女生看到我，就已经兴奋了。”,#自信#贷款A8#总监包袱,全年无休的群聊发动机，一边还着巨额房贷一边操心全群人的精神生活，是当之无愧的“精神领袖”。
河哥(dongmtjs),“工资五六千，年终几十万。”,#凡尔赛#星露谷#打工人,表面是苦逼打工人，实则是隐形富豪，靠着改稿和种田游戏度过了充实（且富有）的一年。
42(jiajian1991111),“只要我不拆，她（手办）就是完美的。”,#纯爱#二次元#相亲,群里的恋爱担当，虽然相亲故事总是戛然而止，但对纸片人的爱永远热烈且专一。
小特(wxid_4ojp3f6kw7fg22),“我来当（搅屎棍）...你躺好就行。”,#捧哏#好奇宝宝#产品经理,哪里有热闹哪里就有他，在“我不懂”和“我悟了”之间反复横跳的气氛组组长。
JJ(wxid_0753557535411),“何尝不是 peer pressure。”,#人间清醒#毒舌#焦虑制造,擅长用最简短的文字直击灵魂（或痛点），是群里防止大家飘得太高的“镇静剂”。
000(wxid_xgn9166hd4gq21),“我发现 Gemini 搜论文不会瞎编了。”,#学术#吃瓜#00后,游走在科研论文和群聊八卦之间的学术裁缝，用实际行动证明了学习和摸鱼可以兼得。
佛哥(Jiasuny),“终于他妈写完了不需要客户端 JS 代码的版本。”,#全栈#通宵#技术流,活跃在凌晨的技术大拿，全群的各种奇奇怪怪的技术需求最终都指向了他。
路人甲-野王(wxid_fs5h1p7qbmum21),“地主家也没有余粮了。”,#吐槽#现实#接梗王,总是能精准地接住每一个梗，并顺手吐个槽，生活气息浓厚的实诚人。
🌔-叉（181cm）(Charlex),“床上不和谐就不长久。”,#181cm#凡尔赛#西湖权贵,将身高和资产刻在DNA里的男人，每一句看似平淡的发言背后都透着“朴实无华”的富足。
芝麻妹妹(xyr990429),“2025年的第一个羡慕，完成✅”,#羡慕#打工人#捧场王,全年贡献了最多的“羡慕”，是群友凡尔赛行为的最佳观众和气氛烘托者。
